title,score,categorias
the silent army,3.6,"comedy,drama,others"
the silencing (4k uhd),3.6,"thriller,action"
the shop,3.5,"drama,thriller,action"
the secret of roan inish,3.5,drama
the secret life of walter mitty,3.6,"comedy,science fiction,action"
the saturn v story,3.6,documentaries
the ruins,3.5,thriller
the rosewood thieves,3.6,music
the romantics,3.6,"comedy,drama"
the road to fame,3.6,documentaries
the return 2020,3.5,"comedy,drama,thriller"
the retrievers,3.5,"comedy,animation"
the real macaw,3.6,"comedy,animation"
the real glory,3.4,"comedy,drama"
the raveonettes,3.6,music
the racketeer,3.5,"comedy,drama,thriller,action"
the program,3.6,"drama,documentaries"
the prisoner,3.5,"comedy,drama"
the primms,3.6,music
the price of honor,3.5,"drama,documentaries"
the prey,3.6,"comedy,thriller,action"
the pop ups: great pretenders club,3.5,animation
the phantom of the opera (silent),3.5,thriller
the perfect victim,3.5,documentaries
the perfect stranger,3.6,drama
the perfect match (1987),3.5,comedy
the pedophile hunters,3.6,"documentaries,others"
the party,3.5,comedy
the parallax view,3.6,drama
the painted hills,3.6,"drama,science fiction,action"
the pains of being pure at heart,3.6,music
the owl and the pussycat,3.5,comedy
the over-the-hill gang rides again,3.4,"comedy,science fiction,action"
the outsider,3.6,"comedy,science fiction,action"
the out of towners,3.6,comedy
the orphle bandits & more kids cartoons - morphle,3.6,animation
the oohlas,3.6,music
the odd couple,3.5,"comedy,drama"
the nutty professor (1963),3.5,"comedy,science fiction,action"
the north star,3.5,"drama,documentaries"
the night is young,3.6,comedy
the night crew,3.5,"comedy,thriller,action"
the night before christmas,3.5,animation
the new adventures of tarzan,3.6,"comedy,science fiction,action"
the natural history of the chicken,3.5,documentaries
the myth of fingerprints,3.6,"comedy,drama"
the mystery of chaco canyon,3.6,documentaries
the mystery of agatha christie with david suchet,3.6,documentaries
the mountains of beyond,3.5,"drama,animation"
the mothman legacy,3.4,"thriller,documentaries"
the monster squad,3.6,"comedy,thriller"
the monopoly on violence,3.6,documentaries
the monkey's paw,3.6,"thriller,action"
the missing lynx,3.6,"comedy,animation"
the missing corpse,3.5,"comedy,thriller,action"
the miracle maker,3.5,"drama,animation,music"
the mine adventure with shawn the train and team - in search of crystals and friendship,3.6,animation
the milky way,3.5,documentaries
the marksman,3.6,comedy
the mandela effect,3.5,"drama,science fiction,action"
the man who knew bush,3.5,"comedy,documentaries"
the man from utah,3.5,"science fiction,action"
the man from cheyenne,3.6,"science fiction,action"
the magic lamp and the moving islands (subbed),3.5,animation
the magic lamp and the moving islands (dubbed),3.5,animation
the lucy show - vol. 2,3.5,comedy
the lucy show - vol. 1,3.6,comedy
the long walk home,3.5,"drama,animation"
the little traitor,3.5,drama
the little prince,3.6,animation
the little match girl,3.6,animation
the little foxes,3.5,"comedy,drama"
the liberation of l.b. jones,3.5,"comedy,drama,thriller,action"
the lemonheads,3.5,music
the legend of swee' pea,3.7,documentaries
the legend of halloween jack,3.5,"thriller,action"
the legend of hallowaiian,3.5,animation
the legend of ben hall,3.5,"comedy,science fiction,action"
the last witness,3.5,"drama,thriller,action"
the last stop,3.5,documentaries
the last sharknado: it's about time,3.6,"comedy,science fiction,action"
the last mile (1932),3.6,drama
the last descent,3.6,"drama,thriller,action,music"
the last days of patton,3.6,"drama,documentaries"
the last black man in san francisco (4k uhd),3.5,"drama,documentaries,others"
the last apostle,3.5,documentaries
the lady from shanghai,3.5,"drama,thriller,action"
the ladies man,3.4,comedy
the king of thieves,3.6,"comedy,science fiction,thriller,action"
the kindness of strangers,3.6,"comedy,drama"
the kill team,3.6,"comedy,thriller,action"
